URL,ID,Date,Author,Comment
http://www.foxnews.com/opinion/2016/03/01/what-bernie-sanders-democratic-socialism-means-to-millennials.html,,,,
,1,"Mar 9, 2016",Stylist,"Regardless, Bernie Sanders supports the murder of unborn babies, and calls it a ""women's right"". Looking from the view of a Republican, Democrat or other party, babies inside the womb are alive just as babies outside the womb. Murder should never be a ""right"" of women, or men. Certainly, Government should Not be paying for the murder of unborn babies. Yet, we have Bernie Sanders running for President who supports such a horrific industry that makes billions of dollars in profit."
,2,"Mar 3, 2016",cammosutra,"Like him or hate him, Bernie has a legitimate point: How can we (the USA) ever have a strong middle class consumer based economy again like we used to when the bottom 60 percent of wage earners now only control 7% of the wealth and income? Meanwhile, the top 5 percent control 73% of the wealth and income and it is NOT trickling down. Of course, this redistribution of income was OK when Reaganomics set it in motion, but how dare anybody speak of wealth redistribution today? BTW these numbers come from a fly by night outfit called ""The Harvard Business School"" in case anyone is interested.
Bernie Sanders at least gets it. No one on the GOP side seems to have a clue."
,3,"Mar 14, 2016",indios,Huh?
,4,"Mar 3, 2016",Jmurk,"The USA isn't broke. America  can spend trillions  on wars that we should have never been in, Billions of dollars on the wasted war on drugs, Billions of dollars bailing out the rich BUT NOT ONE OF YOU fussed about all the TAX PAYER money wasted on these things that are still  going on today. "
,5,"Mar 3, 2016",jackflack1,and if everyone can go to college free..........who's picking up the tab????  Nothing is free!!!!!  It will never work!  Don't need a college degree to figure that one out! 
,6,"Mar 3, 2016",Jmurk,"@jackflack1 No one complains ever about the billions and trillions of tax payer dollars spent yearly on the failed war on drugs, the handouts that the rich get aka tax breaks."
,7,"Mar 4, 2016",Weirdoonparade,"@jackflack1 
Really? Use your brain.... Public education is already FREE until the end of high school.  What is 4 more years worth?  Better education and not graduating with crushing debt. 

Yes what a bad idea. Who neds 2 b smrt un and edukmated."
,8,"Mar 3, 2016",jackflack1,and if everyone can go to college free..........who's picking up the tab????  Nothing is free!!!!!  It will never work! 
,9,"Mar 4, 2016",Weirdoonparade,"@jackflack1 
Public education is already free until t eh end of high school. 
To pay for PUBLIC college/university, Taxes have a minimal increase.    When one graduates from Free Public college they get a job and don't have to stress over crushing debt. Also, when they get those jobs they pay taxes. Where do the taxes go?
If you can't grasp this concept then maybe you should  look into getting a better education. You can always use Google."
,10,"Mar 14, 2016",ayarter,@jackflack1 An educated person would know that your statement is logically fallacious. 
,11,"Mar 2, 2016",rrondenheyer,He who robs Peter to pay Paul can always depend on Paul's support.
,12,"Mar 4, 2016",Weirdoonparade,"@rrondenheyer 
So taxes to pay for programs is bad? Explain your comment. 
Generally robbing peter to pay paul is a term used for kiting cheques or using one CC to pay another. 
increasing taxes a wee bit for a better educated and healthier country seems like a no brainer. However if you are against health and education then i would assume you have no brain. "
,13,"Mar 2, 2016",adlbray,"Something maybe lost on many of the political pundits is that Bernie lost pretty bad in the southern states, due to his low name recognition with Black voters, however in the western and mid western states, he did very well. Since the majority of southern states are now done, does that mean that Hilary's upper hand has been diminished? If Bernie goes on to take more states, outside of the south then what will Hilary do? I will admit Bernie is a long shot, because of the Clinton machine, but Bernie still has time make up some ground. Also as Bernie goes forward his name recognition will continue to increase and at some point black voters and minority voters may start to look at him differently."
,14,"Mar 2, 2016",LiberalsHateWomenAndBlacks,"like the only real job sanders ever had
he is well qualified to write ablout his masturbatory practices"
,15,"Mar 2, 2016",autobug2,"In the end, it really doesn't matter what Bernie Sanders 'means' to anyone. He will be bowing out of the race within 2 weeks. He doesn't stand a chance. He was hedging all along that young votes were important for his campaign. Sure they are! He's banking on the fact that young voters don't know what a socialist is, or how they cling to communistic values! 

Not exactly what our country needs; him OR Killary! Although she's walking away from Bernie in the polls."
,16,"Mar 2, 2016",Lemming82,@autobug2 Its like you didn't even read the article. No shock there since you go straight with the name calling and don't give actual facts.
,17,"Mar 3, 2016",hymisser,"@autobug2 Suspend your judgement and take in what Sanders is really saying. Communism has nothing to do with socialism. It's only the corrupt main stream media that have tried to link the two together to discredit Sanders. Why would they do that? Because he will reign in the bankers, corporate thieves that avoid taxes, and create a more equitable system of economic and social justice. 

So please don't be fooled by the corporate agenda that has successfully lied to us."
,18,"Mar 2, 2016",Jim2321,Socialism means the end of middle class . it reel is that easy 
,19,"Mar 2, 2016",Lemming82,"@Jim2321 First off, the middle class is already shrinking because of the policies in place right now. Secondly, his policies are pushing for the return of the middle class. But don't actually read into his policies, just regurgitate the same garbage talk that you keep hearing. Everyone else will continue to actually research and make informed decisions."
,20,"Mar 3, 2016",hymisser,"@Jim2321 You have it backwards. Corporate control of America is destroying the middle class with their slave wages, outsourcing of jobs with tax breaks, austerity programs on the struggling cities, profitable wars, and tax havens."
,21,"Mar 3, 2016",spockrhp,"@hymisser @Jim2321 -- fellas -- you need to READ some economics before you prescribe solutions.  So far, you're completely off base as to the causes of our current economic malaise and thus your proposals are as futile as Bernie's.

Government control of the economy has an unblemished 3500 year history of failure.  You need to consider that and figure out exactly why your proposed methods will succeed when all others have foundered on the rocks of human behavior.  GL -- I don't think you can do it."
,22,"Mar 5, 2016",JesseCorder,@spockrhp @hymisser @Jim2321 Because reinstating the tax code from the 1950's will not reinstate the economic prosperity of the 1950's. They have nothing to do with each other.
,23,"Mar 3, 2016",cammosutra,"@Jim2321  Actually Jim, 40 plus years of trickle down economics has hurt the middle class badly. Do you honestly think we can have a healthy middle class based economy when the bottom 60% of wage earners now only control 7% of the nation's wealth and income? It didn't used to be this way 40 years ago, and the wealthy did just fine."
